folio,depto,area,nro,s09a_01a,s09a_01b,s09a_01c,s09a_01d,s09a_01e,s09a_01f,s09a_01g,s09a_01h,s09a_01i,s09a_01j,s09a_01k,s09a_01l,s09a_01le,s09a_02,s09a_03_1,s09a_03_2,s09a_03_3,s09a_03_4,s09a_03_5,s09a_03_5e,s09a_04,s09a_04e,s09a_05_1,s09a_05_2,s09a_05_3,s09a_05_4,s09a_05_5,s09a_05_6,s09a_05_7,s09a_05_8,s09a_05_8e,s09b_01,s09b_02a,s09b_02b,s09b_02e,s09b_03,s09b_04,upm_x,estrato_x,ponderador,suf_disc,n_motivos,victima,inseguridad,denuncia,material_paredes_noble,piso_noble,agua_red,saneamiento,electricidad,basura_recogida,combustible_limpio,internet,vivienda_propia,n_cuartos,n_dormitorios,hacinamiento,totper,sexo,edad,anios_educ,indigena,lengua_grupo,alfabetizado,ocupado,desocupado,log_ylab,log_yhogpc,pobre,pobre_extremo,factor,upm_y,estrato_y
114-002315-A-0061,Chuquisaca,Urbano,5.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,8.0,,,,3.0,114-002315-A,114,0.7891964440753159,0,0,0,1,0,1,1,1,1,1,1,1,1,1,7.0,6.0,0.86,6.0,Hombre,52.0,17.0,0,Castellano,1,1,0,8.006700845440367,8.26004745954204,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0091,Chuquisaca,Urbano,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,114-002315-A,114,0.7891964440753159,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4.0,3.0,1.0,4.0,Hombre,18.0,12.0,0,Castellano,1,0,1,,7.7721050972692165,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0081,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,0,0,1,1,1,1,1,1,0,0,1,2.0,1.0,0.5,1.0,Mujer,81.0,12.0,0,Castellano,1,1,0,7.108293186420252,7.397087503151694,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0071,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,2.0,Mujer,75.0,17.0,1,Originaria,1,1,0,,9.11937573660209,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0021,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2.0,1.0,1.5,3.0,Hombre,20.0,12.0,0,Castellano,1,1,0,8.085948630320585,8.107051172379366,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0041,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,1,0,1,0,1,1,1,1,1,1,1,1.0,0.0,2.0,2.0,Hombre,76.0,6.0,0,Originaria,1,1,0,,6.613607852400551,1,0,209.4280155806477,114-002315-A,114
114-002315-A-0031,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,1,0,1,1,1,1,1,1,1,1,1,5.0,4.0,1.0,5.0,Hombre,47.0,17.0,0,Castellano,1,1,0,8.517393171418904,8.052933036797567,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0011,Chuquisaca,Urbano,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5.0,4.0,1.2,6.0,Mujer,20.0,10.0,0,Castellano,1,1,0,7.919719760924575,8.29333130354681,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0141,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,3.0,114-002315-A,114,0.7891964440753159,0,0,1,1,0,1,1,1,1,1,1,1,1,1,5.0,4.0,0.8,4.0,Mujer,23.0,17.0,0,Castellano,1,1,0,,7.915165604223776,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0111,Chuquisaca,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,,2.0,8.0,,,,2.0,114-002315-A,114,0.7891964440753159,1,1,0,1,0,1,0,1,1,1,1,1,1,1,5.0,4.0,1.0,5.0,Mujer,26.0,17.0,0,Castellano,1,1,0,,7.02619413252906,1,0,209.4280155806477,114-002315-A,114
114-002315-A-0131,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,114-002315-A,114,0.789196444075316,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5.0,4.0,1.0,5.0,Hombre,36.0,17.0,0,Castellano,1,0,1,,7.547202771905771,0,0,209.4280155806477,114-002315-A,114
114-002315-A-0121,Chuquisaca,Urbano,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,1.0,114-002315-A,114,0.7891964440753159,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4.0,3.0,1.25,5.0,Mujer,31.0,17.0,0,Castellano,1,0,1,,7.509883061154913,0,0,209.4280155806477,114-002315-A,114
113-001399-A-0051,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,113-001399-A,113,0.6781256328181487,0,0,0,0,0,1,0,1,1,1,1,1,1,1,3.0,2.0,0.67,2.0,Mujer,50.0,0.0,1,Originaria,0,1,0,,7.815812205929189,0,0,179.95330143925798,113-001399-A,113
113-001399-A-0061,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,1.0,113-001399-A,113,0.6781256328181487,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4.0,3.0,0.75,3.0,Mujer,58.0,17.0,1,Originaria,1,1,0,9.189389118464536,8.41433572541012,0,0,179.95330143925798,113-001399-A,113
113-001399-A-0071,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,113-001399-A,113,0.6781256328181487,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5.0,3.0,0.8,4.0,Mujer,23.0,17.0,0,Castellano,1,0,1,,7.8549369805870155,0,0,179.95330143925798,113-001399-A,113
113-001399-A-0081,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,113-001399-A,113,0.6781256328181487,0,0,0,0,0,1,1,1,1,1,1,1,1,0,6.0,5.0,0.83,5.0,Hombre,19.0,10.0,0,Castellano,1,1,0,,6.444957558297277,1,1,179.95330143925798,113-001399-A,113
113-001399-A-0011,Chuquisaca,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,113-001399-A,113,0.6781256328181487,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3.0,2.0,1.33,4.0,Mujer,43.0,17.0,0,Castellano,1,1,0,8.406485069431817,8.442595285562675,0,0,179.95330143925798,113-001399-A,113
113-001399-A-0021,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,3.0,113-001399-A,113,0.6781256328181487,0,0,0,1,0,1,0,1,1,1,1,1,1,1,2.0,1.0,1.0,2.0,Hombre,70.0,10.0,0,Originaria,1,1,0,,7.834557272693652,0,0,179.95330143925798,113-001399-A,113
113-001399-A-0041,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,3.0,113-001399-A,113,0.6781256328181487,0,0,0,1,0,1,0,1,1,1,1,1,1,1,3.0,2.0,1.0,3.0,Mujer,23.0,17.0,0,Castellano,1,1,0,8.19818101582239,8.401695092131481,0,0,179.95330143925798,113-001399-A,113
113-001399-A-0121,Chuquisaca,Urbano,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,3.0,8.0,,,,2.0,113-001399-A,113,0.6781256328181487,1,1,0,0,0,1,1,1,1,1,1,1,1,1,3.0,1.0,0.33,1.0,Mujer,20.0,12.0,0,Castellano,1,1,0,6.254981945664454,7.611149763911051,0,0,179.95330143925798,113-001399-A,113
113-001399-A-0031,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,113-001399-A,113,0.6781256328181487,0,0,0,0,0,1,0,1,1,1,1,1,1,0,8.0,2.0,0.12,1.0,Hombre,30.0,12.0,1,Originaria,1,1,0,8.681842832732949,8.681842832732949,0,0,179.95330143925798,113-001399-A,113
113-001399-A-0111,Chuquisaca,Urbano,3.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,,3.0,8.0,,,,2.0,113-001399-A,113,0.6781256328181487,1,2,0,0,0,1,1,1,1,1,1,1,1,1,7.0,6.0,0.86,6.0,Hombre,19.0,17.0,0,Castellano,1,1,0,,7.217060220498493,1,0,179.95330143925798,113-001399-A,113
113-001399-A-0101,Chuquisaca,Urbano,3.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,3.0,1.0,,,2.0,2.0,113-001399-A,113,0.6781256328181487,1,2,1,0,0,1,0,1,1,1,1,1,1,1,5.0,3.0,0.6,3.0,Mujer,15.0,10.0,0,Castellano,1,1,0,,7.824961119360504,0,0,179.95330143925798,113-001399-A,113
113-001399-A-0091,Chuquisaca,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,113-001399-A,113,0.6781256328181487,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4.0,3.0,0.75,3.0,Mujer,39.0,17.0,0,Castellano,1,1,0,8.944865419840418,8.067262296979461,0,0,179.95330143925798,113-001399-A,113
412-000536-A-0091,Oruro,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,3.0,412-000536-A,412,0.5608395304328233,0,0,0,1,0,1,1,1,1,1,1,1,0,1,3.0,3.0,1.33,4.0,Hombre,23.0,17.0,0,Castellano,1,1,0,7.824445930877619,8.369504918516633,0,0,150.1834051207725,412-000536-A,412
412-000536-A-0101,Oruro,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,412-000536-A,412,0.5608395304328233,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1.0,1.0,4.0,4.0,Hombre,37.0,17.0,0,Castellano,1,1,0,7.919719760924575,6.53451531816871,1,0,150.1834051207725,412-000536-A,412
412-000536-A-0141,Oruro,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,412-000536-A,412,0.5608395304328233,0,0,0,1,0,1,1,1,1,1,1,1,1,1,4.0,3.0,1.0,4.0,Hombre,24.0,17.0,0,Castellano,1,1,0,7.438971592395862,7.222346981092001,0,0,150.1834051207725,412-000536-A,412
412-000536-A-0131,Oruro,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,2.0,412-000536-A,412,0.5608395304328234,0,0,0,1,0,1,0,1,1,1,1,1,1,1,4.0,3.0,0.75,3.0,Mujer,20.0,17.0,0,Castellano,1,1,0,,6.68586094706836,1,0,150.1834051207725,412-000536-A,412
412-000536-A-0151,Oruro,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,,1.0,4.0,,,2.0,4.0,412-000536-A,412,0.5608395304328233,1,1,1,1,0,1,0,1,1,1,1,1,1,1,2.0,1.0,1.0,2.0,Hombre,64.0,17.0,1,Originaria,1,1,0,8.349011198176003,8.35039051335801,0,0,150.1834051207725,412-000536-A,412
412-000536-A-0111,Oruro,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,2.0,,,,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,8.0,,,,4.0,412-000536-A,412,0.5608395304328233,0,0,0,1,0,1,0,1,1,1,1,1,1,0,2.0,1.0,1.5,3.0,Hombre,29.0,17.0,0,Castellano,1,1,0,8.160803920954665,7.062762699682014,1,0,150.1834051207725,412-000536-A,412
412-000536-A-0011,Oruro,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,412-000536-A,412,0.5608395304328233,0,0,0,1,0,1,1,1,1,1,1,1,1,0,2.0,2.0,2.5,5.0,Mujer,17.0,10.0,0,Castellano,1,1,0,,6.862967108958193,1,0,150.1834051207725,412-000536-A,412
412-000536-A-0021,Oruro,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,412-000536-A,412,0.5608395304328234,0,0,0,1,0,1,1,1,1,1,1,1,1,1,2.0,2.0,1.5,3.0,Hombre,55.0,17.0,0,Castellano,1,1,0,8.006700845440367,6.90875477931522,1,0,150.1834051207725,412-000536-A,412
412-000536-A-0031,Oruro,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,1.0,8.0,,,,4.0,412-000536-A,412,0.5608395304328234,0,0,0,1,0,1,1,1,1,1,1,1,0,1,2.0,2.0,1.5,3.0,Hombre,61.0,6.0,0,Originaria,1,1,0,8.216358332386156,7.3445036730605535,0,0,150.1834051207725,412-000536-A,412
314-005564-A-0041,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,4.0,314-005564-A,314,0.5303564709652832,0,0,1,1,0,0,1,1,1,1,1,1,0,1,3.0,2.0,0.67,2.0,Hombre,69.0,12.0,0,Castellano,1,1,0,,7.2299596027696875,1,0,149.77006228165664,314-005564-A,314
314-005564-A-0011,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,2.0,4.0,314-005564-A,314,0.5303564709652832,0,0,1,1,0,1,0,1,1,1,1,1,1,1,3.0,1.0,0.67,2.0,Hombre,65.0,17.0,0,Castellano,1,1,0,8.006700845440367,7.313886831633462,0,0,149.77006228165664,314-005564-A,314
314-005564-A-0071,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,2.0,4.0,314-005564-A,314,0.5303564709652832,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1.0,1.0,1.0,1.0,Hombre,34.0,17.0,0,Castellano,1,1,0,8.076411763472189,8.076411763472189,0,0,149.77006228165664,314-005564-A,314
314-005564-A-0061,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,314-005564-A,314,0.5303564709652832,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2.0,1.0,0.5,1.0,Mujer,42.0,12.0,0,Castellano,1,1,0,7.523481312573497,7.762596048540069,0,0,149.77006228165664,314-005564-A,314
314-005564-A-0021,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,,2.0,,,,,,,,,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,1.0,,,2.0,4.0,314-005564-A,314,0.5303564709652832,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,Hombre,34.0,12.0,0,Castellano,1,1,0,7.300472814267799,7.300472814267799,1,0,149.77006228165664,314-005564-A,314
314-005564-A-0131,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,314-005564-A,314,0.5303564709652832,0,0,0,0,0,1,1,1,1,1,1,1,1,0,4.0,1.0,0.5,2.0,Hombre,49.0,17.0,0,Castellano,1,1,0,8.294299608857235,8.517393171418904,0,0,149.77006228165664,314-005564-A,314
314-005564-A-0151,Cochabamba,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,3.0,314-005564-A,314,0.5303564709652832,0,0,0,0,0,1,1,1,1,1,1,1,1,1,5.0,4.0,0.8,4.0,Mujer,45.0,17.0,0,Castellano,1,1,0,9.441531454869693,9.007634490607987,0,0,149.77006228165664,314-005564-A,314
314-005564-A-0121,Cochabamba,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,5.0,314-005564-A,314,0.5303564709652832,0,0,0,1,0,1,1,1,1,1,1,1,1,1,5.0,2.0,0.4,2.0,Hombre,18.0,12.0,0,Castellano,1,1,0,,8.281723990411392,0,0,149.77006228165664,314-005564-A,314
314-005564-A-0101,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,3.0,314-005564-A,314,0.5303564709652832,0,0,0,1,0,1,1,1,1,1,1,1,1,1,4.0,2.0,0.5,2.0,Hombre,46.0,17.0,0,Castellano,1,1,0,8.597420467392535,8.71072937915357,0,0,149.77006228165664,314-005564-A,314
314-005564-A-0091,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,314-005564-A,314,0.5303564709652832,0,0,0,1,0,1,1,1,1,1,1,1,1,0,2.0,1.0,0.5,1.0,Hombre,54.0,17.0,0,Castellano,1,1,0,8.987321812850125,8.987321812850125,0,0,149.77006228165664,314-005564-A,314
314-005564-A-0181,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,314-005564-A,314,0.5303564709652832,0,0,0,0,0,1,1,1,1,1,1,1,1,0,3.0,2.0,1.67,5.0,Hombre,36.0,12.0,1,Originaria,1,1,0,8.649857570109189,7.04112006226911,1,0,149.77006228165664,314-005564-A,314
314-005564-A-0171,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,3.0,314-005564-A,314,0.5303564709652832,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3.0,3.0,1.33,4.0,Hombre,60.0,17.0,0,Castellano,1,1,0,8.677780256064185,8.177855231435677,0,0,149.77006228165664,314-005564-A,314
314-005175-A-0081,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,4.0,,,1.0,3.0,314-005175-A,314,0.34854152145940376,0,0,1,0,0,1,1,1,1,1,1,1,1,1,4.0,1.0,0.5,2.0,Hombre,83.0,10.0,0,Originaria,1,1,0,,6.780111237248878,1,0,98.426413618955,314-005175-A,314
314-005175-A-0011,Cochabamba,Urbano,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,4.0,314-005175-A,314,0.34854152145940376,1,1,1,1,0,1,0,1,1,1,1,1,1,1,5.0,1.0,0.4,2.0,Mujer,47.0,12.0,0,Castellano,1,1,0,,7.556689304865757,0,0,98.426413618955,314-005175-A,314
314-005175-A-0031,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,4.0,,,2.0,4.0,314-005175-A,314,0.34854152145940376,0,0,1,1,0,1,0,1,1,1,1,1,1,1,4.0,2.0,0.75,3.0,Hombre,52.0,12.0,1,Castellano,1,1,0,6.85751406254539,6.70645478047222,1,0,98.426413618955,314-005175-A,314
314-005175-A-0051,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,2.0,4.0,314-005175-A,314,0.34854152145940376,0,0,1,1,0,1,1,1,1,1,1,1,0,0,1.0,1.0,1.0,1.0,Hombre,65.0,12.0,0,Castellano,1,1,0,7.937731775260109,7.937731775260109,0,0,98.426413618955,314-005175-A,314
314-005175-A-0171,Cochabamba,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,5.0,314-005175-A,314,0.34854152145940376,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3.0,2.0,1.33,4.0,Hombre,87.0,4.0,1,Castellano,1,1,0,,7.281443042532088,1,0,98.426413618955,314-005175-A,314
314-005175-A-0191,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,4.0,314-005175-A,314,0.34854152145940376,0,0,0,1,0,1,1,1,1,1,1,1,1,0,3.0,1.0,0.67,2.0,Hombre,35.0,17.0,0,Castellano,1,1,0,7.696667081526462,7.438971592395862,0,0,98.426413618955,314-005175-A,314
314-005175-A-0221,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,314-005175-A,314,0.34854152145940376,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2.0,1.0,1.0,2.0,Hombre,35.0,17.0,1,Castellano,1,1,0,8.37432312793464,7.6814066367438105,0,0,98.426413618955,314-005175-A,314
314-005175-A-0241,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,314-005175-A,314,0.34854152145940376,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2.0,1.0,1.0,2.0,Hombre,32.0,17.0,0,Castellano,1,1,0,8.77971129020447,8.086717920303906,0,0,98.426413618955,314-005175-A,314
314-005175-A-0261,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,3.0,314-005175-A,314,0.34854152145940376,0,0,0,1,0,1,1,1,1,1,1,1,1,1,3.0,1.0,0.67,2.0,Hombre,41.0,17.0,0,Castellano,1,1,0,8.597420467392535,8.492080490601163,0,0,98.426413618955,314-005175-A,314
314-005175-A-0101,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,314-005175-A,314,0.34854152145940376,0,0,0,0,0,0,0,1,1,1,1,1,1,0,4.0,1.0,0.25,1.0,Hombre,46.0,17.0,0,Castellano,1,1,0,8.412054873292933,8.412054873292933,0,0,98.426413618955,314-005175-A,314
314-005175-A-0121,Cochabamba,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,314-005175-A,314,0.34854152145940376,0,0,0,0,0,0,1,1,1,1,1,1,1,1,5.0,4.0,0.8,4.0,Hombre,87.0,10.0,0,Originaria,1,1,0,,7.375125209320973,0,0,98.426413618955,314-005175-A,314
314-005175-A-0151,Cochabamba,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,1.0,314-005175-A,314,0.34854152145940376,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1.0,1.0,2.0,2.0,Mujer,36.0,17.0,0,Castellano,1,1,0,8.03947991910045,8.33511168393314,0,0,98.426413618955,314-005175-A,314
