folio,depto,area,nro,s09a_01a,s09a_01b,s09a_01c,s09a_01d,s09a_01e,s09a_01f,s09a_01g,s09a_01h,s09a_01i,s09a_01j,s09a_01k,s09a_01l,s09a_01le,s09a_02,s09a_03_1,s09a_03_2,s09a_03_3,s09a_03_4,s09a_03_5,s09a_03_5e,s09a_04,s09a_04e,s09a_05_1,s09a_05_2,s09a_05_3,s09a_05_4,s09a_05_5,s09a_05_6,s09a_05_7,s09a_05_8,s09a_05_8e,s09b_01,s09b_02a,s09b_02b,s09b_02e,s09b_03,s09b_04,upm_x,estrato_x,ponderador,suf_disc,n_motivos,victima,inseguridad,denuncia,material_paredes_noble,piso_noble,agua_red,saneamiento,electricidad,basura_recogida,combustible_limpio,internet,vivienda_propia,n_cuartos,n_dormitorios,hacinamiento,totper,sexo,edad,anios_educ,indigena,lengua_grupo,alfabetizado,ocupado,desocupado,log_ylab,log_yhogpc,pobre,pobre_extremo,factor,upm_y,estrato_y
212-000254-A-0141,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,1.0,212-000254-A,212,1.1490975902162586,0,0,0,0,0,1,0,1,1,1,1,1,1,0,2.0,1.0,0.5,1.0,Hombre,33.0,17.0,0,Castellano,1,1,0,7.937731775260109,8.188966863648876,0,0,312.6945461377356,212-000254-A,212
212-000254-A-0081,La Paz,Urbano,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,,,1.0,8.0,,,,4.0,212-000254-A,212,1.1490975902162586,1,3,0,1,1,1,1,1,1,1,1,1,1,0,2.0,2.0,2.5,5.0,Hombre,45.0,12.0,1,Castellano,1,1,0,7.824445930877619,6.2166061010848646,1,1,312.6945461377356,212-000254-A,212
212-000254-A-0111,La Paz,Urbano,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,4.0,212-000254-A,212,1.1490975902162586,0,0,0,0,0,1,1,1,1,1,1,1,1,0,3.0,2.0,1.33,4.0,Mujer,37.0,12.0,1,Castellano,1,1,0,6.55250788703459,7.069874128458572,1,0,312.6945461377356,212-000254-A,212
212-000254-A-0131,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,,3.0,8.0,,,,2.0,212-000254-A,212,1.1490975902162586,1,2,0,0,0,1,0,1,1,1,1,1,1,1,1.0,1.0,2.0,2.0,Mujer,54.0,4.0,1,Originaria,1,1,0,6.2166061010848646,5.5254529391317835,1,1,312.6945461377356,212-000254-A,212
212-000254-A-0011,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,2.0,,,,,,,,,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,,2.0,2.0,,,2.0,4.0,212-000254-A,212,1.1490975902162586,1,2,1,1,0,1,1,1,1,1,1,1,0,0,1.0,1.0,3.0,3.0,Mujer,45.0,10.0,0,Castellano,1,1,0,7.75190533307861,7.097824556213641,1,0,312.6945461377356,212-000254-A,212
212-000254-A-0031,La Paz,Urbano,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,2.0,,,,,,,,,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,8.0,,,,4.0,212-000254-A,212,1.1490975902162586,1,5,0,1,0,1,0,1,1,1,1,1,1,0,4.0,4.0,1.0,4.0,Mujer,47.0,0.0,1,Castellano,0,1,0,7.783640596221253,7.121656248929415,1,0,312.6945461377356,212-000254-A,212
212-000254-A-0041,La Paz,Urbano,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,1.0,1.0,2.0,2.0,2.0,2.0,,1.0,,,,,,,,,,,2.0,4.0,,,2.0,2.0,212-000254-A,212,1.1490975902162586,1,2,1,1,1,1,0,1,1,1,1,1,1,0,3.0,3.0,1.67,5.0,Mujer,36.0,12.0,1,Castellano,1,1,0,8.060224240440958,6.933423025730715,1,0,312.6945461377356,212-000254-A,212
212-000254-A-0061,La Paz,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,2.0,8.0,,,,2.0,212-000254-A,212,1.1490975902162586,0,0,0,1,0,1,0,1,1,1,1,1,1,1,4.0,4.0,1.25,5.0,Mujer,43.0,17.0,1,Castellano,1,1,0,,7.165390455240383,1,0,312.6945461377356,212-000254-A,212
213-001428-A-0301,La Paz,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,,2.0,,,,,,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,3.0,8.0,,,,2.0,213-001428-A,213,1.5121128313988317,1,2,0,0,0,1,1,1,1,1,1,1,1,0,5.0,4.0,1.2,6.0,Mujer,24.0,12.0,0,Castellano,1,1,0,7.537678633709622,7.446055013999362,0,0,411.4789201100997,213-001428-A,213
213-001428-A-0371,La Paz,Urbano,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,3.0,8.0,,,,2.0,213-001428-A,213,1.5121128313988317,0,0,0,0,0,1,0,1,1,1,1,1,0,0,5.0,4.0,1.6,8.0,Hombre,27.0,4.0,0,Castellano,1,1,0,7.170119543449628,7.040372191096789,1,0,411.4789201100997,213-001428-A,213
